present_phon	past_phon	freq	present_orth	past_orth	class
prÈampt	prÈampt«d	212	prompt	prompted	reg
sÈÃbsIdYz	sÈÃbsIdYzd	212	subsidize	subsidized	reg
bÈost	bÈost«d	211	boast	boasted	reg
dIbÈet	dIbÈet«d	211	debate	debated	reg
forsÈi	forsÈ	211	foresee	foresaw	irreg
SÈÃf«l	SÈÃf«ld	211	shuffle	shuffled	reg
«dmÈIn«stÕ	«dmÈIn«stÕd	210	administer	administered	reg
k«nfÈorm	k«nfÈormd	210	conform	conformed	reg
postpÈon	postpÈond	210	postpone	postponed	reg
CÈQt	CÈQt«d	209	chat	chatted	reg
kÈWntÕ	kÈWntÕd	209	counter	countered	reg
dÈark«n	dÈark«nd	209	darken	darkened	reg
dIpÈIkt	dIpÈIkt«d	209	depict	depicted	reg
drÈIl	drÈIld	209	drill	drilled	reg
rÈat	rÈat«d	209	rot	rotted	reg
slÈYs	slÈYst	209	slice	sliced	reg
klÈQp	klÈQpt	208	clap	clapped	reg
rIpÈer	rIpÈerd	208	repair	repaired	reg
SrÈik	SrÈikt	208	shriek	shrieked	reg
IksÈYt	IksÈYt«d	207	excite	excited	reg
ImbÈark	ImbÈarkt	206	embark	embarked	reg
InhÈQbIt	InhÈQbIt«d	206	inhabit	inhabited	reg
strÈQNg«l	strÈQNg«ld	206	strangle	strangled	reg
strÈÃkCÕ	strÈÃkCÕd	206	structure	structured	reg
dInÈWns	dInÈWnst	205	denounce	denounced	reg
InsÈÕt	InsÈÕt«d	205	insert	inserted	reg
prIzÈum	prIzÈumd	205	presume	presumed	reg
prIvÈel	prIvÈeld	205	prevail	prevailed	reg
prIskrÈYb	prIskrÈYbd	204	prescribe	prescribed	reg
sprÈINk«l	sprÈINk«ld	204	sprinkle	sprinkled	reg
dIfÈY	dIfÈYd	203	defy	defied	reg
dIplÈO	dIplÈOd	203	deploy	deployed	reg
hÈÃg	hÈÃgd	203	hug	hugged	reg
kÈId	kÈId«d	203	kid	kidded	reg
strÈim	strÈimd	203	stream	streamed	reg
koÈap«ret	koÈap«ret«d	202	cooperate	cooperated	reg
JÈok	JÈokt	202	joke	joked	reg
bÈÃlJ	bÈÃlJd	201	bulge	bulged	reg
sÈÕk«l	sÈÕk«ld	201	circle	circled	reg
sÈo	sÈod	201	sew	sewed	reg
Èel	Èeld	200	ail	ailed	reg
k«mprÈYz	k«mprÈYzd	200	comprise	comprised	reg
grÈon	grÈond	200	groan	groaned	reg
hÈÃm	hÈÃmd	200	hum	hummed	reg
tÈÃmb«l	tÈÃmb«ld	200	tumble	tumbled	reg
hjumÈIliet	hjumÈIliet«d	199	humiliate	humiliated	reg
JÈQm	JÈQmd	199	jam	jammed	reg
kwÈIvÕ	kwÈIvÕd	199	quiver	quivered	reg
trÈQk	trÈQkt	199	track	tracked	reg
rÈotet	rÈotet«d	198	rotate	rotated	reg
smÈuD	smÈuDd	198	smooth	smoothed	reg
stÈQk	stÈQkt	198	stack	stacked	reg
InfÈEkt	InfÈEkt«d	197	infect	infected	reg
krÈÃmb«l	krÈÃmb«ld	196	crumble	crumbled	reg
lÈIk	lÈIkt	196	lick	licked	reg
skÈEJu«l	skÈEJu«ld	196	schedule	scheduled	reg
tÈorCÕ	tÈorCÕd	196	torture	tortured	reg
lÈIb«ret	lÈIb«ret«d	195	liberate	liberated	reg
blÈÃS	blÈÃSt	194	blush	blushed	reg
sÈab	sÈabd	194	sob	sobbed	reg
tÈun	tÈund	194	tune	tuned	reg
IkspÈEl	IkspÈEld	193	expel	expelled	reg
flÈQp	flÈQpt	193	flap	flapped	reg
lÈEkCÕ	lÈEkCÕd	193	lecture	lectured	reg
bÈÃmp	bÈÃmpt	192	bump	bumped	reg
sÈYt	sÈYt«d	192	cite	cited	reg
pÈes	pÈest	192	pace	paced	reg
stÈim	stÈimd	192	steam	steamed	reg
tÈÃg	tÈÃgd	192	tug	tugged	reg
bÈum	bÈumd	191	boom	boomed	reg
flÈIk	flÈIkt	190	flick	flicked	reg
ImprÈIz«n	ImprÈIz«nd	190	imprison	imprisoned	reg
prIzÈYd	prIzÈYd«d	190	preside	presided	reg
kwÈor«l	kwÈor«ld	190	quarrel	quarrelled	reg
vÈQlju	vÈQljud	190	value	valued	reg
koInsÈYd	koInsÈYd«d	189	coincide	coincided	reg
krÈQm	krÈQmd	189	cram	crammed	reg
krÈIp«l	krÈIp«ld	189	cripple	crippled	reg
dÈum	dÈumd	189	doom	doomed	reg
fÈiCÕ	fÈiCÕd	189	feature	featured	reg
hÈInt	hÈInt«d	189	hint	hinted	reg
spÈEkjUlet	spÈEkjUlet«d	189	speculate	speculated	reg
rÈINk«l	rÈINk«ld	189	wrinkle	wrinkled	reg
korIspÈand	korIspÈand«d	188	correspond	corresponded	reg
dIstrÈEs	dIstrÈEst	188	distress	distressed	reg
fÈorkQst	fÈorkQst	188	forecast	forecasted	irreg
glÈItÕ	glÈItÕd	188	glitter	glittered	reg
skrÈÃb	skrÈÃbd	188	scrub	scrubbed	reg
mÈotIvet	mÈotIvet«d	187	motivate	motivated	reg
rÈep	rÈept	187	rape	raped	reg
fÈQs«n	fÈQs«nd	186	fasten	fastened	reg
pÈÕC	pÈÕCt	186	perch	perched	reg
pÈIC	pÈICt	186	pitch	pitched	reg
pÈÃnC	pÈÃnCt	186	punch	punched	reg
InsÈÃlt	InsÈÃlt«d	185	insult	insulted	reg
lÈik	lÈikt	185	leak	leaked	reg
sÈEnt«ns	sÈEnt«nst	185	sentence	sentenced	reg
ÈÃndÕlYn	ÈÃndÕlYnd	185	underline	underlined	reg
dItÈÕ	dItÈÕd	184	deter	deterred	reg
«bsÈEs	«bsÈEst	184	obsess	obsessed	reg
CÈQtÕ	CÈQtÕd	183	chatter	chattered	reg
drÈIp	drÈIpt	183	drip	dripped	reg
wÈÕl	wÈÕld	183	whirl	whirled	reg
rÈEk	rÈEkt	183	wreck	wrecked	reg
IkspÈort	IkspÈort«d	182	export	exported	reg
bÈark	bÈarkt	181	bark	barked	reg
brÈud	brÈud«d	181	brood	brooded	reg
k«ntrÈQst	k«ntrÈQst«d	181	contrast	contrasted	reg
dÈEdIket	dÈEdIket«d	181	dedicate	dedicated	reg
hÈarm	hÈarmd	181	harm	harmed	reg
ÈInJÕ	ÈInJÕd	180	injure	injured	reg
mÈINg«l	mÈINg«ld	180	mingle	mingled	reg
sÈor	sÈord	180	soar	soared	reg
spÈES«lYz	spÈES«lYzd	180	specialize	specialized	reg
splÈQS	splÈQSt	180	splash	splashed	reg
sprÈe	sprÈed	180	spray	sprayed	reg
k«nvÈIkt	k«nvÈIkt«d	179	convict	convicted	reg
IkwÈIp	IkwÈIpt	179	equip	equipped	reg
hÈard«n	hÈard«nd	179	harden	hardened	reg
grÈop	grÈopt	178	grope	groped	reg
risÈYk«l	risÈYk«ld	178	recycle	recycled	reg
rIhÈÕs	rIhÈÕst	178	rehearse	rehearsed	reg
twÈIC	twÈICt	178	twitch	twitched	reg
dIspÈÕs	dIspÈÕst	177	disperse	dispersed	reg
hÈQndikQp	hÈQndikQpt	177	handicap	handicapped	reg
hÈWl	hÈWld	177	howl	howled	reg
IlÈumInet	IlÈumInet«d	177	illuminate	illuminated	reg
klÈEnC	klÈEnCt	176	clench	clenched	reg
IndÈors	IndÈorst	176	endorse	endorsed	reg
pÈQnt	pÈQnt«d	176	pant	panted	reg
sÈQk	sÈQkt	176	sack	sacked	reg
swÈÕl	swÈÕld	176	swirl	swirled	reg
«pÈl	«pÈld	175	appal	appalled	reg
dÈQNg«l	dÈQNg«ld	175	dangle	dangled	reg
«rÈIJ«net	«rÈIJ«net«d	175	originate	originated	reg
rIfÈorm	rIfÈormd	175	reform	reformed	reg
IntÈel	IntÈeld	174	entail	entailed	reg
mÈIlk	mÈIlkt	174	milk	milked	reg
pÈil	pÈild	174	peel	peeled	reg
pÈandÕ	pÈandÕd	174	ponder	pondered	reg
k«mprÈEs	k«mprÈEst	173	compress	compressed	reg
fÈorJ	fÈorJd	173	forge	forged	reg
hÈarvIst	hÈarvIst«d	173	harvest	harvested	reg
mÈak	mÈakt	173	mock	mocked	reg
spÈEsIfY	spÈEsIfYd	173	specify	specified	reg
lÈum	lÈumd	172	loom	loomed	reg
prÈas«kjut	prÈas«kjut«d	172	prosecute	prosecuted	reg
tÈIk	tÈIkt	172	tick	ticked	reg
ÃndÈu	ÃndÈId	172	undo	undid	irreg
CÈIl	CÈIld	171	chill	chilled	reg
IndÈÃstri«lYz	IndÈÃstri«lYzd	171	industrialize	industrialized	reg
IntÈEnsIfY	IntÈEnsIfYd	171	intensify	intensified	reg
omÈIt	omÈIt«d	171	omit	omitted	reg
sÈf«n	sÈf«nd	171	soften	softened	reg
k«nfÈÕ	k«nfÈÕd	170	confer	conferred	reg
dÈIsIplIn	dÈIsIplInd	170	discipline	disciplined	reg
dIstrÈQkt	dIstrÈQkt«d	170	distract	distracted	reg
InhÈIbIt	InhÈIbIt«d	170	inhibit	inhibited	reg
mÈInImYz	mÈInImYzd	170	minimize	minimized	reg
rÈiz«n	rÈiz«nd	170	reason	reasoned	reg
spÈansÕ	spÈansÕd	170	sponsor	sponsored	reg
bÈord	bÈord«d	169	board	boarded	reg
flÈQt«n	flÈQt«nd	169	flatten	flattened	reg
nÈIt	nÈIt	169	knit	knitted	irreg
pÈInC	pÈInCt	169	pinch	pinched	reg
sÈÃpl«mEnt	sÈÃpl«mEnt«d	169	supplement	supplemented	reg
mIstÈek	mIstÈUk	168	mistake	mistook	irreg
nÈÃmbÕ	nÈÃmbÕd	168	number	numbered	reg
rItrÈiv	rItrÈivd	168	retrieve	retrieved	reg
skÈIp	skÈIpt	168	skip	skipped	reg
wÈel	wÈeld	168	wail	wailed	reg
Èed	Èed«d	167	aid	aided	reg
ÈEJ	ÈEJd	167	edge	edged	reg
dIspÈEns	dIspÈEnst	166	dispense	dispensed	reg
tÈEst«fY	tÈEst«fYd	166	testify	testified	reg
wÈil	wÈild	166	wheel	wheeled	reg
krÈÃmp«l	krÈÃmp«ld	165	crumple	crumpled	reg
rÈEk«nsYl	rÈEk«nsYld	165	reconcile	reconciled	reg
rÈost	rÈost«d	165	roast	roasted	reg
skÈQn	skÈQnd	165	scan	scanned	reg
sprÈl	sprÈld	165	sprawl	sprawled	reg
bÈQt«l	bÈQt«ld	164	battle	battled	reg
dwÈEl	dwÈElt	164	dwell	dwellt	irreg
dwÈEl	dwÈEld	164	dwell	dwelled	reg
grÈÃnt	grÈÃnt«d	164	grunt	grunted	reg
ovÕwÈElm	ovÕwÈElmd	164	overwhelm	overwhelmed	reg
sÈIgnIfY	sÈIgnIfYd	164	signify	signified	reg
trÈIgÕ	trÈIgÕd	164	trigger	triggered	reg
«plÈd	«plÈd«d	163	applaud	applauded	reg
bÈeD	bÈeDd	163	bathe	bathed	reg
klÈIk	klÈIkt	163	click	clicked	reg
k«ngrÈQCUlet	k«ngrÈQCUlet«d	163	congratulate	congratulated	reg
dwÈInd«l	dwÈInd«ld	163	dwindle	dwindled	reg
IvÈok	IvÈokt	163	evoke	evoked	reg
lÈus«n	lÈus«nd	163	loosen	loosened	reg
nÈQg	nÈQgd	163	nag	nagged	reg
TrÈIl	TrÈIld	163	thrill	thrilled	reg
«lÈÕt	«lÈÕt«d	162	alert	alerted	reg
dÈez	dÈezd	161	daze	dazed	reg
JÈEsCÕ	JÈEsCÕd	161	gesture	gestured	reg
rÈEgjUlet	rÈEgjUlet«d	161	regulate	regulated	reg
rÈWz	rÈWzd	161	rouse	roused	reg
bÈim	bÈimd	160	beam	beamed	reg
klÈQsIfY	klÈQsIfYd	160	classify	classified	reg
dIsCÈarJ	dIsCÈarJd	160	discharge	discharged	reg
ÈEdIt	ÈEdIt«d	160	edit	edited	reg
ImbÈadi	ImbÈadid	160	embody	embodied	reg
IkspÈerIm«nt	IkspÈerIm«nt«d	160	experiment	experimented	reg
pÈWnd	pÈWnd«d	160	pound	pounded	reg
kÈom	kÈomd	159	comb	combed	reg
«bskjÈur	«bskjÈurd	159	obscure	obscured	reg
pÈÃf	pÈÃft	159	puff	puffed	reg
klÈoD	klÈoDd	158	clothe	clothed	reg
irÈod	irÈod«d	158	erode	eroded	reg
fÈEl	fÈEld	158	fell	felled	reg
wÈtÕ	wÈtÕd	158	water	watered	reg
«sÈlt	«sÈlt«d	157	assault	assaulted	reg
bÈUli	bÈUlid	157	bully	bullied	reg
CÈerIS	CÈerISt	157	cherish	cherished	reg
dIs«prÈuv	dIs«prÈuvd	157	disapprove	disapproved	reg
fÈIltÕ	fÈIltÕd	157	filter	filtered	reg
glÈIs«n	glÈIs«nd	157	glisten	glistened	reg
hÈIs	hÈIst	157	hiss	hissed	reg
hÈÃd«l	hÈÃd«ld	157	huddle	huddled	reg
portrÈe	portrÈed	157	portray	portrayed	reg
sÈImÕ	sÈImÕd	157	simmer	simmered	reg
jÈunIfY	jÈunIfYd	157	unify	unified	reg
blÈYnd	blÈYnd«d	156	blind	blinded	reg
fÈÃmb«l	fÈÃmb«ld	156	fumble	fumbled	reg
hÈes«n	hÈes«nd	156	hasten	hastened	reg
ovÕtÈek	ovÕtÈUk	156	overtake	overtook	irreg
SÈarp«n	SÈarp«nd	156	sharpen	sharpened	reg
stÈYf«l	stÈYf«ld	156	stifle	stifled	reg
tÈYdi	tÈYdid	156	tidy	tidied	reg
dIkÈe	dIkÈed	155	decay	decayed	reg
fÈul	fÈuld	155	fool	fooled	reg
mÈob«lYz	mÈob«lYzd	155	mobilize	mobilized	reg
pÈQd	pÈQd«d	155	pad	padded	reg
stÈer«lYz	stÈer«lYzd	155	sterilize	sterilized	reg
tÈQNg«l	tÈQNg«ld	155	tangle	tangled	reg
k«ntÈEnd	k«ntÈEnd«d	154	contend	contended	reg
drÈEd	drÈEd«d	154	dread	dreaded	reg
fÈIlm	fÈIlmd	154	film	filmed	reg
hÈap	hÈapt	154	hop	hopped	reg
lÈÕk	lÈÕkt	154	lurk	lurked	reg
rIvÈYz	rIvÈYzd	154	revise	revised	reg
sÈiz«n	sÈiz«nd	154	season	seasoned	reg
stÈak	stÈakt	154	stock	stocked	reg
IskÈort	IskÈort«d	153	escort	escorted	reg
flÈer	flÈerd	153	flare	flared	reg
mÈQstÕ	mÈQstÕd	153	master	mastered	reg
p«lÈut	p«lÈut«d	153	pollute	polluted	reg
prÈob	prÈobd	153	probe	probed	reg
SÈEltÕ	SÈEltÕd	153	shelter	sheltered	reg
wÈIDÕ	wÈIDÕd	153	wither	withered	reg
brÈuz	brÈuzd	152	bruise	bruised	reg
dÈÃst	dÈÃst«d	152	dust	dusted	reg
hÈÃnC	hÈÃnCt	152	hunch	hunched	reg
lÈQS	lÈQSt	152	lash	lashed	reg
nÈÕs	nÈÕst	152	nurse	nursed	reg
pÈer«lYz	pÈer«lYzd	152	paralyse	paralysed	reg
rIsÈid	rIsÈid«d	152	recede	receded	reg
sÈupÕvYz	sÈupÕvYzd	152	supervise	supervised	reg
trQnsÈEnd	trQnsÈEnd«d	152	transcend	transcended	reg
trÈIm	trÈImd	152	trim	trimmed	reg
ÃndÕÈEst«met	ÃndÕÈEst«met«d	152	underestimate	underestimated	reg
ÈeJ	ÈeJd	151	age	aged	reg
Èeli«net	Èeli«net«d	151	alienate	alienated	reg
dÈart	dÈart«d	151	dart	darted	reg
dIJÈEst	dIJÈEst«d	151	digest	digested	reg
IvÈQljuet	IvÈQljuet«d	151	evaluate	evaluated	reg
grÈÃmb«l	grÈÃmb«ld	151	grumble	grumbled	reg
mÈEnd	mÈEnd«d	151	mend	mended	reg
plÈÃk	plÈÃkt	151	pluck	plucked	reg
sÈQg	sÈQgd	151	sag	sagged	reg
sIdÈus	sIdÈust	151	seduce	seduced	reg
stÈIN	stÈÃN	151	sting	stung	irreg
ÈarC	ÈarCt	150	arch	arched	reg
k«mÈIS«n	k«mÈIS«nd	150	commission	commissioned	reg
rIsÈYt	rIsÈYt«d	150	recite	recited	reg
stÈk	stÈkt	150	stalk	stalked	reg
junÈYt	junÈYt«d	150	unite	united	reg
bÈust	bÈust«d	149	boost	boosted	reg
sÈEntr«lYz	sÈEntr«lYzd	149	centralize	centralized	reg
m«tSÈur	m«tSÈurd	149	mature	matured	reg
skrÈin	skrÈind	149	screen	screened	reg
ÃndrÈEs	ÃndrÈEst	149	undress	undressed	reg
wÈed	wÈed«d	149	wade	waded	reg
dIvÈWÕ	dIvÈWÕd	148	devour	devoured	reg
drÈup	drÈupt	148	droop	drooped	reg
sÈImb«lYz	sÈImb«lYzd	148	symbolize	symbolized	reg
blÈEnd	blÈEnd«d	147	blend	blended	reg
plÈat	plÈat«d	147	plot	plotted	reg
ri«pÈir	ri«pÈird	147	reappear	reappeared	reg
rÈIns	rÈInst	147	rinse	rinsed	reg
kÈÃp«l	kÈÃp«ld	146	couple	coupled	reg
«prÈEs	«prÈEst	146	oppress	oppressed	reg
p«zÈIS«n	p«zÈIS«nd	146	position	positioned	reg
SÈap	SÈapt	146	shop	shopped	reg
sÈÃm«rYz	sÈÃm«rYzd	146	summarize	summarized	reg
ÈQl«ket	ÈQl«ket«d	145	allocate	allocated	reg
blÈQk	blÈQkt	145	black	blacked	reg
krÈik	krÈikt	145	creak	creaked	reg
IndÈenJÕ	IndÈenJÕd	145	endanger	endangered	reg
IvÈQp«ret	IvÈQp«ret«d	145	evaporate	evaporated	reg
hÕÈQs	hÕÈQst	145	harass	harassed	reg
tormÈEnt	tormÈEnt«d	145	torment	tormented	reg
«wÈek	«wÈok	144	awake	awoke	irreg
bÈEk«n	bÈEk«nd	144	beckon	beckoned	reg
dÈY«l	dÈY«ld	144	dial	dialled	reg
InvÈok	InvÈokt	144	invoke	invoked	reg
pÈost	pÈost«d	144	post	posted	reg
stÈorm	stÈormd	144	storm	stormed	reg
dIsrÈÃpt	dIsrÈÃpt«d	143	disrupt	disrupted	reg
slÈop	slÈopt	143	slope	sloped	reg
klÈerIfY	klÈerIfYd	142	clarify	clarified	reg
pÈirs	pÈirst	142	pierce	pierced	reg
SÈort«n	SÈort«nd	142	shorten	shortened	reg
s«bsÈYd	s«bsÈYd«d	142	subside	subsided	reg
wÈINk	wÈINkt	142	wink	winked	reg
dIsÈInt«gret	dIsÈInt«gret«d	141	disintegrate	disintegrated	reg
dÈY	dÈYd	141	dye	dyed	reg
lÈEs«n	lÈEs«nd	141	lessen	lessened	reg
ripÈe	ripÈed	141	repay	repaid	reg
sÈYl«ns	sÈYl«nst	141	silence	silenced	reg
swÈorm	swÈormd	141	swarm	swarmed	reg
trÈQmp«l	trÈQmp«ld	141	trample	trampled	reg
klÈQmbÕ	klÈQmbÕd	140	clamber	clambered	reg
dIsklÈoz	dIsklÈozd	140	disclose	disclosed	reg
pY«nÈir	pY«nÈird	140	pioneer	pioneered	reg
rIzÈort	rIzÈort«d	140	resort	resorted	reg
stÈQb	stÈQbd	140	stab	stabbed	reg
bÈab	bÈabd	139	bob	bobbed	reg
dIgrÈed	dIgrÈed«d	139	degrade	degraded	reg
mÈQksImYz	mÈQksImYzd	139	maximize	maximized	reg
ovÕkrÈWd	ovÕkrÈWd«d	139	overcrowd	overcrowded	reg
val«ntÈir	val«ntÈird	139	volunteer	volunteered	reg
rÈEs«l	rÈEs«ld	139	wrestle	wrestled	reg
ÈT«rYz	ÈT«rYzd	138	authorize	authorized	reg
sÈOl	sÈOld	138	soil	soiled	reg
tÈYÕ	tÈYÕd	138	tire	tired	reg
ÈQNgÕ	ÈQNgÕd	137	anger	angered	reg
«vÈÕt	«vÈÕt«d	137	avert	averted	reg
k«mpÈWnd	k«mpÈWnd«d	137	compound	compounded	reg
kamprIhÈEnd	kamprIhÈEnd«d	137	comprehend	comprehended	reg
dÈip«n	dÈip«nd	137	deepen	deepened	reg
mIsÃndÕstÈQnd	mIsÃndÕstÈUd	137	misunderstand	misunderstood	irreg
mÈold	mÈold«d	137	mould	moulded	reg
mÈÃf«l	mÈÃf«ld	137	muffle	muffled	reg
ÈWtreJ	ÈWtreJd	137	outrage	outraged	reg
skÈIm	skÈImd	137	skim	skimmed	reg
trÈIk«l	trÈIk«ld	137	trickle	trickled	reg
ÃnfÈold	ÃnfÈold«d	137	unfold	unfolded	reg
CÈQnt	CÈQnt«d	136	chant	chanted	reg
krÈap	krÈapt	136	crop	cropped	reg
ÈIntr«st	ÈIntr«st«d	136	interest	interested	reg
fsÈEt	fsÈEt	136	offset		irreg
pr«trÈud	pr«trÈud«d	136	protrude	protruded	reg
bÈÃz	bÈÃzd	135	buzz	buzzed	reg
krÈWd	krÈWd«d	135	crowd	crowded	reg
InsÈu	InsÈud	135	ensue	ensued	reg
IvÈed	IvÈed«d	135	evade	evaded	reg
grÈed	grÈed«d	135	grade	graded	reg
mÈEs	mÈEst	135	mess	messed	reg
p«lÈis	p«lÈist	135	police	policed	reg
rÈIg«l	rÈIg«ld	135	wriggle	wriggled	reg
jÈn	jÈnd	135	yawn	yawned	reg
kÈampl«ket	kÈampl«ket«d	134	complicate	complicated	reg
lÈItÕ	lÈItÕd	134	litter	littered	reg
prohÈIb«t	prohÈIb«t«d	134	prohibit	prohibited	reg
skÈer	skÈerd	134	scare	scared	reg
stÈup	stÈupt	134	stoop	stooped	reg
dImÈalIS	dImÈalISt	133	demolish	demolished	reg
dIsplÈes	dIsplÈest	133	displace	displaced	reg
drÈep	drÈept	133	drape	draped	reg
trQnspÈort	trQnspÈort«d	133	transport	transported	reg
InrÈIC	InrÈICt	132	enrich	enriched	reg
lÈaJ	lÈaJd	132	lodge	lodged	reg
bÈQf«l	bÈQf«ld	131	baffle	baffled	reg
kantr«dÈIkt	kantr«dÈIkt«d	131	contradict	contradicted	reg
dItÈiri«ret	dItÈiri«ret«d	131	deteriorate	deteriorated	reg
nÈÕIS	nÈÕISt	131	nourish	nourished	reg
rÈom	rÈomd	131	roam	roamed	reg
TrÈQS	TrÈQSt	131	thrash	thrashed	reg
jÈut«lYz	jÈut«lYzd	131	utilize	utilized	reg
vÈY«let	vÈY«let«d	131	violate	violated	reg
blÈez	blÈezd	130	blaze	blazed	reg
dÈWn	dÈWnd	130	down	downed	reg
flÈWÕ	flÈWÕd	130	flower	flowered	reg
pÈQkIJ	pÈQkIJd	130	package	packaged	reg
pÈÃbl«sYz	pÈÃbl«sYzd	130	publicize	publicized	reg
rIbÈEl	rIbÈEld	130	rebel	rebelled	reg
sÈuD	sÈuDd	130	soothe	soothed	reg
rÈYD	rÈYDd	130	writhe	writhed	reg
dÈEzIgnet	dÈEzIgnet«d	129	designate	designated	reg
hÈel	hÈeld	129	hail	hailed	reg
mÈet	mÈet«d	129	mate	mated	reg
rÈed	rÈed«d	129	raid	raided	reg
sÈEvÕ	sÈEvÕd	129	sever	severed	reg
k«nsÈalIdet	k«nsÈalIdet«d	128	consolidate	consolidated	reg
dIplÈor	dIplÈord	128	deplore	deplored	reg
imÈIt	imÈIt«d	128	emit	emitted	reg
sÈImplIfY	sÈImplIfYd	128	simplify	simplified	reg
«spÈYÕ	«spÈYÕd	127	aspire	aspired	reg
mÈQgnIfY	mÈQgnIfYd	127	magnify	magnified	reg
slÈÃmp	slÈÃmpt	127	slump	slumped	reg
blÈQst	blÈQst«d	126	blast	blasted	reg
bÈÃt«n	bÈÃt«nd	126	button	buttoned	reg
k«nfÈYd	k«nfÈYd«d	126	confide	confided	reg
dÈoz	dÈozd	126	doze	dozed	reg
f«sÈIl«tet	f«sÈIl«tet«d	126	facilitate	facilitated	reg
kÈIdnQp	kÈIdnQpt	126	kidnap	kidnapped	reg
lÈÕC	lÈÕCt	126	lurch	lurched	reg
rÈQNk	rÈQNkt	126	rank	ranked	reg
slÈtÕ	slÈtÕd	126	slaughter	slaughtered	reg
sprÈWt	sprÈWt«d	126	sprout	sprouted	reg
fÈQS«n	fÈQS«nd	125	fashion	fashioned	reg
ovÕlÈQp	ovÕlÈQpt	125	overlap	overlapped	reg
stÈeS«n	stÈeS«nd	125	station	stationed	reg
TÈIn	TÈInd	125	thin	thinned	reg
trÈIp	trÈIpt	125	trip	tripped	reg
ÈltÕnet	ÈltÕnet«d	124	alternate	alternated	reg
dIprÈEs	dIprÈEst	124	depress	depressed	reg
JÈEn«r«lYz	JÈEn«r«lYzd	124	generalize	generalized	reg
rÈen	rÈend	124	reign	reigned	reg
skÈup	skÈupt	124	scoop	scooped	reg
skwÈInt	skwÈInt«d	124	squint	squinted	reg
dÈÃk	dÈÃkt	123	duck	ducked	reg
mÈQnIfEst	mÈQnIfEst«d	123	manifest	manifested	reg
rIvÈalv	rIvÈalvd	123	revolve	revolved	reg
«bjÈuz	«bjÈuzd	122	abuse	abused	reg
kÈak	kÈakt	122	cock	cocked	reg
flÈIp	flÈIpt	122	flip	flipped	reg
gÈir	gÈird	122	gear	geared	reg
ÃnkÈÃvÕ	ÃnkÈÃvÕd	122	uncover	uncovered	reg
ÃnlÈod	ÃnlÈod«d	122	unload	unloaded	reg
ÈÃSÕ	ÈÃSÕd	122	usher	ushered	reg
wÈIsk	wÈIskt	122	whisk	whisked	reg
wÈild	wÈild«d	122	wield	wielded	reg
«sÈEnd	«sÈEnd«d	121	ascend	ascended	reg
bÈÃb«l	bÈÃb«ld	121	bubble	bubbled	reg
kÈQS	kÈQSt	121	cash	cashed	reg
gÈep	gÈept	121	gape	gaped	reg
rÈElIS	rÈElISt	121	relish	relished	reg
skrÈIb«l	skrÈIb«ld	121	scribble	scribbled	reg
TÈÃmp	TÈÃmpt	121	thump	thumped	reg
wIThÈold	wIThÈEld	121	withhold	withheld	irreg
IfÈEkt	IfÈEkt«d	120	effect	effected	reg
fÈId«l	fÈId«ld	120	fiddle	fiddled	reg
hÈÃS	hÈÃSt	120	hush	hushed	reg
mÈQn	mÈQnd	120	man	manned	reg
nÈotIfY	nÈotIfYd	120	notify	notified	reg
plÈÃg	plÈÃgd	120	plug	plugged	reg
smÈÃDÕ	smÈÃDÕd	120	smother	smothered	reg
rÈIN	rÈÃN	120	wring	wrung	irreg
rIkÈÕ	rIkÈÕd	119	recur	recurred	reg
k«mpjÈut	k«mpjÈut«d	118	compute	computed	reg
InlÈIst	InlÈIst«d	118	enlist	enlisted	reg
m«nÈuvÕ	m«nÈuvÕd	118	manoeuvre	manoeuvred	reg
pÈerIS	pÈerISt	118	perish	perished	reg
rIfrÈen	rIfrÈend	118	refrain	refrained	reg
snÈarl	snÈarld	118	snarl	snarled	reg
vÈIZu«lYz	vÈIZu«lYzd	118	visualize	visualized	reg
klÈQtÕ	klÈQtÕd	117	clatter	clattered	reg
dIspÈQC	dIspÈQCt	117	dispatch	dispatched	reg
ImbrÈOdÕ	ImbrÈOdÕd	117	embroider	embroidered	reg
fÈent	fÈent«d	117	faint	fainted	reg
lÈImp	lÈImpt	117	limp	limped	reg
wITstÈQnd	wITstÈUd	117	withstand	withstood	irreg
ÈQvÕIJ	ÈQvÕIJd	116	average	averaged	reg
k«nsÈÕv	k«nsÈÕvd	116	conserve	conserved	reg
glÈYd	glÈYd«d	116	glide	glided	reg
hÈYlYt	hÈYlYt«d	116	highlight	highlighted	reg
rÈQli	rÈQlid	116	rally	rallied	reg
SÈImÕ	SÈImÕd	116	shimmer	shimmered	reg
TÈIk«n	TÈIk«nd	116	thicken	thickened	reg
wÈYn	wÈYnd	116	whine	whined	reg
k«rÈEs	k«rÈEst	115	caress	caressed	reg
klÈÃstÕ	klÈÃstÕd	115	cluster	clustered	reg
dIskrÈImInet	dIskrÈImInet«d	115	discriminate	discriminated	reg
InCÈQnt	InCÈQnt«d	115	enchant	enchanted	reg
stÈEdi	stÈEdid	115	steady	steadied	reg
bÈQnIS	bÈQnISt	114	banish	banished	reg
CÈÃk«l	CÈÃk«ld	114	chuckle	chuckled	reg
kÈot	kÈot«d	114	coat	coated	reg
krÈWn	krÈWnd	114	crown	crowned	reg
